Cliente;Tipo de Cliente;Itens;Vendas Líquidas ($);Método de Pagamento;Gênero;Estado Civil;Idade;Região
359;Regular;7.12;120;Boleto;Feminino;Casado(a);60;Francisco Beltrão
360;Regular;7.83;170;Boleto;Feminino;Casado(a);43;Toledo
361;1Compra;5.14;230;Boleto;Feminino;Solteiro(a);32;Maringá
362;1Compra;4.86;100;Boleto;Feminino;Casado(a);38;Foz do Iguaçu
363;1Compra;7.44;105;Visa;Feminino;Casado(a);28;Francisco Beltrão
364;Retorno;6.4;130;Boleto;Feminino;Solteiro(a);35;Colombo
365;1Compra;6.74;240;Boleto;Feminino;Solteiro(a);38;Colombo
366;Retorno;8.03;105;Boleto;Feminino;Solteiro(a);25;Toledo
367;Regular;5.17;140;Boleto;Feminino;Casado(a);28;Pato Branco
368;Retorno;4.92;210;Boleto;Feminino;Casado(a);33;Foz do Iguaçu
369;Retorno;7.6;140;Boleto;Feminino;Casado(a);24;Pato Branco
370;1Compra;5.57;91;MasterCard;Feminino;Casado(a);33;Pato Branco
371;Regular;4.36;69;Boleto;Feminino;Casado(a);31;Francisco Beltrão
372;1Compra;7.52;119;Boleto;Masculino;Solteiro(a);53;Colombo
373;1Compra;4.45;121;Visa;Masculino;Casado(a);42;Foz do Iguaçu
374;Regular;5.43;40;Boleto;Masculino;Casado(a);25;Guarapuava
375;Regular;4.47;138;Boleto;Masculino;Casado(a);27;Francisco Beltrão
376;1Compra;4.59;54;MasterCard;Masculino;Casado(a);39;Pato Branco
377;1Compra;6.96;53;Boleto;Masculino;Casado(a);29;Francisco Beltrão
378;Retorno;6.24;67;Boleto;Feminino;Solteiro(a);35;Colombo
379;Retorno;4.21;76;Boleto;Feminino;Casado(a);36;Francisco Beltrão
380;Retorno;7.97;76;MasterCard;Feminino;Casado(a);53;Maringá
381;Retorno;6.43;99;Boleto;Feminino;Casado(a);45;Pato Branco
382;Retorno;7.74;82;Boleto;Feminino;Casado(a);40;CuritibaCuritiba
383;Retorno;6.01;136;Boleto;Feminino;Casado(a);23;Pato Branco
384;1Compra;6.31;71;Boleto;Feminino;Casado(a);40;Pato Branco
385;Regular;6.1;109;Boleto;Feminino;Casado(a);26;Maringá
386;Retorno;4.18;26;Boleto;Feminino;Casado(a);33;Pato Branco
387;1Compra;5.03;55;Boleto;Feminino;Casado(a);37;Pato Branco
388;1Compra;7.72;108;Boleto;Feminino;Solteiro(a);25;Pato Branco
389;1Compra;6.32;70;Boleto;Feminino;Casado(a);47;Pato Branco
390;1Compra;5.37;92;Boleto;Feminino;Solteiro(a);32;Francisco Beltrão
391;Regular;5.14;118;Boleto;Feminino;Casado(a);35;Colombo
392;Retorno;4.55;116;Visa;Feminino;Solteiro(a);33;Curitiba0
393;Retorno;7.63;169;Boleto;Feminino;Casado(a);58;Curitiba0
394;Retorno;8.02;119;Boleto;Feminino;Solteiro(a);46;Francisco Beltrão
395;Retorno;7.33;123;Boleto;Feminino;Casado(a);40;Toledo
396;Regular;5.89;136;Boleto;Feminino;Casado(a);44;Foz do Iguaçu
397;1Compra;4.83;115;Boleto;Feminino;Casado(a);33;Pato Branco
398;Retorno;5.91;120;Boleto;Feminino;Casado(a);38;Colombo
399;1Compra;5.65;73;Boleto;Feminino;Casado(a);43;Maringá
400;1Compra;5.44;78;Boleto;Feminino;Casado(a);38;Londrina
401;Regular;7.28;120;Visa;Feminino;Solteiro(a);42;Toledo
402;Retorno;5.6;200;Visa;Feminino;Casado(a);32;Francisco Beltrão
403;1Compra;6.59;95;Visa;Feminino;Casado(a);40;Pato Branco
404;1Compra;7.2;95;Boleto;Feminino;Casado(a);43;Colombo
405;Retorno;6.43;98;Visa;Feminino;Casado(a);61;Foz do Iguaçu
406;1Compra;4.26;92;Boleto;Feminino;Casado(a);67;Curitiba
407;Retorno;6.09;221;Boleto;Feminino;Casado(a);32;Londrina
408;Regular;7.02;130;Boleto;Feminino;Casado(a);70;Toledo
409;1Compra;5.79;117;Boleto;Feminino;Solteiro(a);28;Toledo
410;Retorno;4.25;108;Boleto;Feminino;Solteiro(a);45;Francisco Beltrão
411;Retorno;4.27;241;Visa;Feminino;Solteiro(a);21;Foz do Iguaçu
412;1Compra;4.88;162;Visa;Feminino;Casado(a);34;Pato Branco
413;Retorno;6.46;90;Visa;Masculino;Casado(a);34;Francisco Beltrão
414;Regular;5.13;188;Boleto;Feminino;Casado(a);66;Guarapuava
415;Retorno;7.97;190;Visa;Feminino;Casado(a);26;Maringá
416;Retorno;5.71;70;Boleto;Feminino;Casado(a);24;Francisco Beltrão
417;Regular;7.92;85;Boleto;Feminino;Solteiro(a);47;Pato Branco
418;Retorno;7.62;153;Visa;Feminino;Casado(a);32;Colombo
419;Retorno;5.34;90;Boleto;Feminino;Casado(a);44;Francisco Beltrão
420;Retorno;4.18;23;Boleto;Feminino;Solteiro(a);29;Pato Branco
421;Retorno;4.78;172;Boleto;Feminino;Solteiro(a);23;Colombo
422;Retorno;6.21;130;Boleto;Feminino;Casado(a);21;CuritibaCuritiba
423;Retorno;6.48;184;Boleto;Masculino;Solteiro(a);56;Foz do Iguaçu
424;Regular;7.31;135;Boleto;Feminino;Casado(a);58;Guarapuava
425;Retorno;4.13;114;Visa;Feminino;Solteiro(a);40;Toledo
426;1Compra;6.25;149;Boleto;Feminino;Casado(a);42;Toledo
427;Retorno;6.29;130;Boleto;Feminino;Casado(a);66;Toledo
428;Retorno;6.28;131;Boleto;Feminino;Solteiro(a);47;Foz do Iguaçu
429;Regular;5.93;93;Boleto;Feminino;Casado(a);26;Maringá
430;Retorno;5.67;81;Boleto;Feminino;Solteiro(a);41;Pato Branco
431;Retorno;7.77;120;Boleto;Feminino;Solteiro(a);56;Toledo
432;Retorno;7.25;125;Boleto;Masculino;Solteiro(a);56;Francisco Beltrão
433;1Compra;4.42;75;Boleto;Feminino;Casado(a);26;Colombo
434;Retorno;5.32;92;MasterCard;Masculino;Casado(a);29;Francisco Beltrão
435;1Compra;5.64;96;Boleto;Feminino;Solteiro(a);48;Pato Branco
436;Retorno;4.75;122;Boleto;Feminino;Solteiro(a);34;Francisco Beltrão
437;Regular;5.74;120;Boleto;Feminino;Solteiro(a);50;Colombo
438;Retorno;6.29;138;Boleto;Feminino;Casado(a);58;Colombo
439;Retorno;4.73;105;Visa;Feminino;Casado(a);62;Pato Branco
440;Regular;7.25;141;Boleto;Feminino;Casado(a);32;Foz do Iguaçu
441;Retorno;5.77;200;Boleto;Feminino;Solteiro(a);30;Toledo
442;Retorno;7.09;99;Boleto;Feminino;Solteiro(a);47;Colombo
443;1Compra;4.95;131;Boleto;Feminino;Solteiro(a);48;Francisco Beltrão
444;Retorno;6.54;98;Boleto;Masculino;Casado(a);35;Guarapuava
445;Retorno;4.47;149;Boleto;Masculino;Casado(a);59;Foz do Iguaçu
446;1Compra;8.01;96;Boleto;Feminino;Casado(a);31;Curitiba0
447;Retorno;7.23;142;Boleto;Feminino;Casado(a);33;Foz do Iguaçu
448;Regular;4.57;131;Boleto;Feminino;Casado(a);28;Foz do Iguaçu
449;Retorno;7.78;88;Boleto;Feminino;Solteiro(a);43;Francisco Beltrão
450;Regular;6.99;145;Visa;Feminino;Solteiro(a);35;Curitiba0
451;Retorno;4.36;85;MasterCard;2;Solteiro(a);35;Toledo
452;1Compra;5.38;141;Boleto;Feminino;Solteiro(a);58;Toledo
453;Retorno;6.49;170;MasterCard;Feminino;Solteiro(a);47;Francisco Beltrão
454;Retorno;5.01;123;Boleto;Feminino;Casado(a);45;Guarapuava
455;Regular;6.93;175;Boleto;Feminino;Casado(a);9;Pato Branco
456;Retorno;5.68;133;Boleto;Feminino;Casado(a);55;Colombo
457;Retorno;6.86;109;Boleto;Feminino;Casado(a);22;Foz do Iguaçu
458;1Compra;4.16;155;Boleto;Feminino;Casado(a);26;Colombo
459;1Compra;4.58;135;Boleto;Feminino;Casado(a);53;Francisco Beltrão
460;Retorno;7.78;121;Boleto;Feminino;Casado(a);49;Toledo
461;1Compra;6.38;129;Boleto;Feminino;Casado(a);26;Francisco Beltrão
462;Retorno;7.31;125;Boleto;Feminino;Casado(a);25;CuritibaCuritiba
463;Retorno;4.49;119;Boleto;Feminino;Casado(a);25;Curitiba
464;Regular;4.46;94;Boleto;Feminino;Casado(a);25;Guarapuava
465;Retorno;5.66;106;Visa;Feminino;Solteiro(a);30;Pato Branco
466;Retorno;5.75;162;Boleto;Feminino;Solteiro(a);63;Foz do Iguaçu
467;Retorno;7.43;185;Boleto;Feminino;Casado(a);30;Pato Branco
468;Retorno;7.43;170;Boleto;Feminino;Solteiro(a);47;Guarapuava
469;Regular;5.59;115;Boleto;Feminino;Casado(a);20;Maringá
470;Retorno;6.82;185;Boleto;Feminino;Casado(a);38;Foz do Iguaçu
471;1Compra;7.37;210;Boleto;Feminino;Casado(a);23;Foz do Iguaçu
472;Retorno;4.93;120;Boleto;Feminino;Casado(a);63;Toledo
473;Retorno;4.97;225;Visa;Feminino;Casado(a);73;Toledo
474;Retorno;5.58;227;Boleto;Feminino;Solteiro(a);46;Francisco Beltrão
475;Retorno;6.82;260;Boleto;Masculino;Casado(a);29;Maringá
476;Retorno;4.22;325;Boleto;Feminino;Solteiro(a);38;Foz do Iguaçu
477;1Compra;8.82;470;Visa;Masculino;Solteiro(a);4;Guarapuava
478;Regular;7.94;250;Boleto;Feminino;Casado(a);57;Francisco Beltrão
479;1Compra;6.07;248;Boleto;Feminino;Casado(a);26;Francisco Beltrão
480;Retorno;4.44;195;Visa;Feminino;Solteiro(a);36;Pato Branco
481;Regular;6.08;210;Boleto;Feminino;Casado(a);42;Pato Branco
482;Retorno;7.77;220;Boleto;Feminino;Casado(a);58;Londrina
483;Regular;8.09;240;Visa;Masculino;Casado(a);78;Londrina
484;Retorno;7.76;190;MasterCard;Feminino;Casado(a);33;Pato Branco
485;Retorno;6.59;40;Boleto;Feminino;Solteiro(a);43;Colombo
486;1Compra;5.03;170;MasterCard;Feminino;Casado(a);42;Guarapuava
487;Retorno;5.84;265;Boleto;Feminino;Casado(a);65;Pato Branco
488;Retorno;7.09;325;Boleto;Feminino;Casado(a);39;Guarapuava
489;Retorno;4.22;530;Boleto;Feminino;Casado(a);48;Foz do Iguaçu
490;1Compra;4.85;270;Boleto;Feminino;Casado(a);43;Foz do Iguaçu
491;Retorno;7.98;80;Boleto;Feminino;Casado(a);27;Francisco Beltrão
492;1Compra;5.46;118;Boleto;Feminino;Casado(a);52;Guarapuava
493;1Compra;4.51;160;Boleto;Feminino;Solteiro(a);33;Pato Branco
494;Regular;6.44;70;Boleto;Feminino;Casado(a);39;Foz do Iguaçu
495;1Compra;8.36;180;Boleto;Masculino;Casado(a);58;Guarapuava
496;Regular;4.22;200;MasterCard;Feminino;Solteiro(a);25;Toledo
497;1Compra;5.38;270;Boleto;Feminino;Casado(a);37;Toledo
498;Retorno;4.94;65;Visa;Feminino;Casado(a);60;Pato Branco
499;1Compra;6.68;240;Boleto;Feminino;Casado(a);37;Pato Branco
500;1Compra;5.72;175;Boleto;Feminino;Casado(a);72;Foz do Iguaçu
501;Retorno;5.83;160;Boleto;Feminino;Casado(a);24;Francisco Beltrão
502;Retorno;6.33;65;Boleto;Feminino;Solteiro(a);67;Londrina
503;1Compra;4.72;129;Boleto;Feminino;Solteiro(a);30;Guarapuava
504;Retorno;4.75;62;Boleto;Feminino;Casado(a);78;Toledo
505;Regular;5.43;76;Boleto;Feminino;Casado(a);53;Francisco Beltrão
506;Retorno;7.94;72;Boleto;Feminino;Solteiro(a);22;Maringá
507;Retorno;4.18;40;Boleto;Feminino;Casado(a);30;Pato Branco
508;1Compra;5.83;97;Boleto;Feminino;Casado(a);46;Foz do Iguaçu
509;Retorno;6.63;67;Boleto;Masculino;Casado(a);24;Curitiba0
510;1Compra;6.48;69;Visa;Masculino;Solteiro(a);81;Francisco Beltrão
511;Retorno;7.81;22;Boleto;Masculino;Casado(a);53;Guarapuava
512;Retorno;4.23;57;Boleto;Masculino;Casado(a);22;Toledo
513;Regular;6.5;34;Boleto;Feminino;Solteiro(a);33;Pato Branco
514;Retorno;4.66;5;Boleto;Feminino;Casado(a);27;Guarapuava
515;Regular;6.67;29;Boleto;Feminino;Casado(a);24;Toledo
516;Retorno;7.08;3;Boleto;Feminino;Solteiro(a);63;Pato Branco
517;Regular;4.84;35;Boleto;Feminino;Casado(a);53;Pato Branco
518;Regular;5.71;20;Boleto;Feminino;Casado(a);86;Foz do Iguaçu
519;1Compra;5.24;25;Boleto;Feminino;Casado(a);34;Dois Vizinhos
520;1Compra;4.45;11;Boleto;Feminino;Casado(a);59;Dois Vizinhos
521;Retorno;6.67;17;Boleto;Feminino;Solteiro(a);56;Toledo
522;Regular;6.71;48;Visa;Feminino;Casado(a);29;Maringa
523;1Compra;5.84;40;Boleto;Masculino;Solteiro(a);52;Toledo
524;1Compra;6.79;26;Boleto;Feminino;Solteiro(a);49;Maringa
525;Regular;6.6;49;Boleto;Masculino;Casado(a);40;Pato Branco
526;1Compra;8.01;40;Boleto;Feminino;Solteiro(a);65;Guarapuava
527;Retorno;4.83;26;Boleto;Feminino;Solteiro(a);32;Toledo
528;Retorno;6.64;50;Boleto;Feminino;Solteiro(a);46;Toledo
529;1Compra;4.12;55;Boleto;Feminino;Solteiro(a);45;Guarapuava
530;Retorno;5.84;18;Boleto;Feminino;Solteiro(a);0;Toledo
531;Regular;7.4;11;Visa;Feminino;6;49;Maringa
532;1Compra;4.81;13;Boleto;Feminino;Solteiro(a);20;Pato Branco
533;Regular;5.5;22;Boleto;Feminino;Casado(a);25;Pato Branco
534;1Compra;5.16;25;Visa;Feminino;Casado(a);39;Pato Branco
535;Regular;5.48;42;Boleto;Feminino;Casado(a);37;Pato Branco
536;1Compra;7.26;52;Boleto;Feminino;Casado(a);41;Pato Branco
537;1Compra;5.85;14;Boleto;Feminino;Casado(a);28;Londrina
538;1Compra;7.91;45;Visa;Feminino;Casado(a);35;Maringa
539;Retorno;5.37;25;Boleto;Feminino;Solteiro(a);73;Dois Vizinhos
540;Retorno;4.54;41;Boleto;Feminino;Solteiro(a);46;Toledo
541;Regular;7;32;Boleto;Feminino;Casado(a);37;Maringa
542;Regular;5.89;31;Boleto;Feminino;Casado(a);39;Guarapuava
543;1Compra;5.79;40;Boleto;Feminino;Solteiro(a);67;Pato Branco
544;Retorno;4.26;56;Visa;Feminino;Solteiro(a);60;Pato Branco
545;Retorno;4.88;156;Visa;Feminino;Solteiro(a);25;Maringa
546;Retorno;5.19;138;Visa;Feminino;Casado(a);19;Guarapuava
547;Regular;4.91;77;Boleto;Feminino;Solteiro(a);44;Dois Vizinhos
548;Retorno;4.43;63;Visa;Feminino;Solteiro(a);72;Pato Branco
549;1Compra;5.86;92;Boleto;Feminino;Casado(a);84;Maringa
550;Regular;7.5;94;Boleto;Masculino;6;66;Pato Branco
551;Regular;5.07;72;Boleto;Feminino;Casado(a);22;Guarapuava
552;1Compra;5.91;141;Boleto;Feminino;Casado(a);34;Maringa
553;1Compra;5.93;96;Boleto;Feminino;Solteiro(a);38;Colombo
554;1Compra;7.3;141;Boleto;Feminino;Casado(a);35;Curitiba0
555;Retorno;5.66;85;Boleto;Feminino;Casado(a);41;Toledo
556;1Compra;8.03;54;Boleto;Feminino;Casado(a);45;Colombo
557;Retorno;4.08;81;Boleto;Feminino;Casado(a);33;Maringa
558;Regular;6.05;56;Visa;Feminino;Solteiro(a);28;Colombo
559;Retorno;4.99;39;MasterCard;Feminino;Solteiro(a);30;Guarapuava
560;Retorno;5.85;92;Boleto;Feminino;Solteiro(a);24;Maringa
561;1Compra;7.68;109;Visa;Feminino;Casado(a);29;Colombo
562;Regular;6.61;57;MasterCard;Masculino;Casado(a);48;Londrina
563;1Compra;5.56;111;Boleto;Feminino;Casado(a);30;Colombo
564;1Compra;4.47;22;Boleto;Feminino;Solteiro(a);43;Pato Branco
565;Regular;5.4;35;MasterCard;Feminino;Casado(a);45;Pato Branco
566;Regular;5.05;25;Boleto;Feminino;Casado(a);28;Londrina
567;1Compra;7.59;39;MasterCard;Feminino;Casado(a);62;Toledo
568;1Compra;5.21;26;Boleto;Feminino;Solteiro(a);33;Toledo
569;Retorno;5.39;49;Visa;Feminino;Solteiro(a);70;Maringa
570;Retorno;6.1;42;Visa;Feminino;Casado(a);43;Pato Branco
571;Retorno;5.18;52;Boleto;Feminino;Casado(a);37;Pato Branco
572;Retorno;7.51;23;Boleto;Feminino;Casado(a);43;Dois Vizinhos
573;Retorno;6.19;2;Boleto;Feminino;Casado(a);49;Toledo
574;Retorno;6.05;25;Boleto;Feminino;Solteiro(a);68;Toledo
575;1Compra;6.55;61;Boleto;Feminino;Solteiro(a);32;Colombo
576;Regular;4.56;16;Visa;Feminino;Casado(a);31;Toledo
577;Retorno;6.18;41;Boleto;Feminino;Solteiro(a);51;Colombo
578;1Compra;5.77;42;Boleto;Feminino;Casado(a);36;Maringa
579;1Compra;4.53;52;Boleto;Feminino;Solteiro(a);46;Londrina
580;1Compra;5.03;24;Boleto;Masculino;Casado(a);49;Toledo
581;1Compra;6.98;35;Visa;Feminino;Casado(a);37;Colombo
582;Regular;7.46;15;Boleto;Feminino;Casado(a);37;Guarapuava
583;Retorno;7.07;14;Boleto;Feminino;Solteiro(a);60;Colombo
584;Retorno;6.81;36;Boleto;Feminino;Casado(a);39;Guarapuava
585;Retorno;4.69;10;Boleto;Feminino;Casado(a);67;Colombo
586;Retorno;7.51;7;Boleto;Feminino;Casado(a);74;Pato Branco
587;Regular;4.44;57;Boleto;Feminino;Solteiro(a);50;Londrina
588;1Compra;7.04;53;Boleto;Feminino;Casado(a);62;Maringa
589;Retorno;4.33;34;Boleto;Feminino;Casado(a);63;Guarapuava
590;1Compra;7.52;0;Boleto;Feminino;Casado(a);47;Dois Vizinhos
591;1Compra;7.77;8;Boleto;Feminino;Casado(a);75;Curitiba0
592;Regular;6.46;21;Boleto;Feminino;Casado(a);46;Toledo
593;Retorno;7.29;25;Visa;Feminino;Casado(a);67;Pato Branco
594;1Compra;6.53;58;Boleto;Feminino;Casado(a);22;Curitiba0
595;1Compra;4.32;41;Boleto;Feminino;Casado(a);50;Londrina
596;Retorno;4.23;54;Boleto;Feminino;Casado(a);26;Colombo
597;1Compra;7.35;35;Boleto;Feminino;Casado(a);45;Maringa
598;Retorno;7.5;24;Boleto;Feminino;Solteiro(a);57;Maringa
599;Regular;6.48;38;Boleto;Feminino;Casado(a);54;Guarapuava
600;1Compra;5.37;36;Boleto;Feminino;Solteiro(a);35;Pato Branco
601;Retorno;4.81;42;Boleto;2;Casado(a);28;Maringa
602;Retorno;5.21;27;Boleto;Feminino;Casado(a);34;Maringa
603;1Compra;4.55;25;Visa;Feminino;Casado(a);41;Londrina
604;Retorno;4.94;10;Visa;Feminino;Casado(a);27;Pato Branco
605;Regular;6.61;41;Boleto;Feminino;Casado(a);52;Colombo
606;Retorno;4.73;40;Boleto;Feminino;Casado(a);42;CuritibaCuritiba
607;Retorno;7.92;60;Boleto;Masculino;Solteiro(a);49;Toledo
608;Regular;7.67;3;Boleto;Feminino;Casado(a);54;Guarapuava
609;Retorno;5.7;18;Boleto;Feminino;Casado(a);22;Colombo
610;Retorno;5.5;27;Boleto;Feminino;Solteiro(a);37;Toledo
611;Retorno;5.25;25;Boleto;Feminino;Casado(a);39;Curitiba0
612;Retorno;6.73;45;Boleto;Masculino;Solteiro(a);57;Maringa
613;Retorno;7.63;26;Boleto;Feminino;Solteiro(a);28;Maringa
614;Retorno;4.26;35;Boleto;Feminino;Casado(a);46;Curitiba0
615;Regular;4.22;37;MasterCard;Feminino;Casado(a);48;Colombo
616;Retorno;5.29;27;Boleto;Masculino;Casado(a);51;Maringa
617;1Compra;6.97;44;Boleto;Feminino;Casado(a);42;Pato Branco
618;Retorno;7.84;11;Boleto;Feminino;Casado(a);30;Pato Branco
619;Retorno;5.66;0;Boleto;Feminino;Casado(a);36;Maringa
620;Regular;6.34;15;Boleto;Feminino;Solteiro(a);50;Pato Branco
621;Retorno;4.8;3;Visa;Feminino;Solteiro(a);52;Pato Branco
622;Retorno;5;24;Boleto;Feminino;Solteiro(a);40;Londrina
623;Retorno;4.44;45;Visa;Feminino;Solteiro(a);24;Colombo
624;1Compra;7.66;4;Boleto;Feminino;Casado(a);30;Colombo
625;Retorno;6.33;117;Boleto;Feminino;Casado(a);56;Toledo
626;1Compra;4.5;122;Boleto;Feminino;Casado(a);53;Toledo
627;Retorno;7.95;115;Boleto;Feminino;Casado(a);43;Guarapuava
628;Regular;4.26;101;Boleto;Feminino;Casado(a);54;Guarapuava
629;Retorno;7.85;162;Boleto;Feminino;Casado(a);37;Colombo
630;Retorno;4.35;130;Visa;Feminino;Solteiro(a);55;Guarapuava
631;Regular;4.67;110;Boleto;Feminino;Solteiro(a);28;Londrina
632;Retorno;5.09;100;Boleto;Feminino;Casado(a);23;Toledo
633;Retorno;5.02;135;Boleto;Feminino;Casado(a);31;Guarapuava
634;1Compra;7.53;133;MasterCard;Feminino;Casado(a);38;Maringa
635;Retorno;5.53;80;Boleto;Feminino;Casado(a);39;Pato Branco
636;Retorno;7.65;129;Boleto;Feminino;Casado(a);78;CuritibaLondrina
637;1Compra;4.79;148;Boleto;Feminino;Casado(a);36;Pato Branco
638;Retorno;5.31;136;Boleto;Feminino;Solteiro(a);64;Pato Branco
639;Regular;6.61;95;Boleto;Feminino;Solteiro(a);39;Colombo
640;Retorno;4.18;99;Boleto;Feminino;Solteiro(a);31;Guarapuava
641;Regular;8.25;153;Boleto;Feminino;Casado(a);45;Maringa
642;Retorno;7.1;130;Visa;Feminino;Casado(a);37;Toledo
643;1Compra;7.9;121;Boleto;Feminino;Solteiro(a);27;Colombo
644;Retorno;8.02;111;Boleto;Masculino;Casado(a);26;Maringa
645;Retorno;5.39;160;Boleto;Feminino;Casado(a);36;Maringa
646;Regular;6.19;170;Boleto;Feminino;Casado(a);48;Toledo
647;Retorno;4.63;145;Boleto;Feminino;Solteiro(a);47;Maringa
648;Retorno;6;132;Boleto;Feminino;Solteiro(a);63;Maringa
649;1Compra;4.11;102;Boleto;Feminino;Casado(a);28;Toledo
650;1Compra;4.4;128;MasterCard;Feminino;Casado(a);48;Toledo
651;Retorno;5.96;101;Boleto;Feminino;Casado(a);62;Colombo
652;1Compra;5.07;155;Boleto;Feminino;Casado(a);59;CuritibaCuritiba
653;Retorno;5.1;85;Boleto;Feminino;Solteiro(a);63;Maringa
654;Retorno;4.7;322;Boleto;Feminino;Solteiro(a);43;Pato Branco
655;Regular;5.39;200;Boleto;Feminino;Casado(a);73;Guarapuava
656;Retorno;7.31;138;Boleto;Feminino;Solteiro(a);62;Colombo
657;Retorno;4.28;116;Boleto;Feminino;Solteiro(a);42;Maringa
658;Retorno;7.06;166;Boleto;2;Solteiro(a);40;Dois Vizinhos
659;Retorno;5.86;75;Boleto;Masculino;Casado(a);54;Guarapuava
660;Regular;5.33;153;Boleto;Feminino;Solteiro(a);43;Maringa
661;Retorno;5.53;230;Boleto;Feminino;Solteiro(a);33;Guarapuava
662;1Compra;4.59;180;Boleto;Feminino;Solteiro(a);67;Toledo
663;Retorno;7.85;260;Boleto;Masculino;Casado(a);30;Colombo
664;Retorno;4.37;21;MasterCard;Feminino;Solteiro(a);49;Colombo
665;Retorno;7.03;28;Boleto;Feminino;Casado(a);28;Maringa
666;Retorno;7.02;23;Boleto;Feminino;Casado(a);56;Pato Branco
667;Retorno;7.32;38;Boleto;Feminino;Casado(a);35;Guarapuava
668;1Compra;8.32;17;Boleto;Feminino;Solteiro(a);49;Curitiba0
669;Regular;7.39;47;Visa;Feminino;Casado(a);28;Guarapuava
670;1Compra;4.82;40;Boleto;Feminino;Casado(a);72;Maringa
671;Retorno;7.94;17;Boleto;Masculino;Solteiro(a);30;Pato Branco
672;Regular;7.18;78;Boleto;Feminino;Casado(a);53;Toledo
673;Retorno;5.25;110;Boleto;Feminino;Casado(a);56;Guarapuava
674;Regular;5.12;115;Boleto;Feminino;Casado(a);44;Londrina
675;Retorno;4.99;127;Boleto;Feminino;Casado(a);32;Dois Vizinhos
676;Retorno;5.22;199;Boleto;Feminino;Casado(a);40;Londrina
677;1Compra;4.48;170;Boleto;Feminino;Solteiro(a);61;Maringa
678;Retorno;6.74;128;Boleto;Feminino;Solteiro(a);24;Colombo
679;Retorno;7.06;131;Boleto;Feminino;Casado(a);29;Pato Branco
680;Retorno;7.27;127;Boleto;Feminino;Casado(a);65;Toledo
681;1Compra;6.04;218;Boleto;Masculino;Solteiro(a);50;Pato Branco
682;Retorno;7.79;375;Boleto;Feminino;Casado(a);41;Toledo
683;1Compra;4.63;170;Boleto;Masculino;Solteiro(a);34;Toledo
684;1Compra;4.75;190;Boleto;Feminino;Casado(a);46;Pato Branco
685;Regular;7.62;150;Boleto;Feminino;Casado(a);62;Pato Branco
686;1Compra;5.75;395;Boleto;Feminino;Casado(a);33;Toledo
687;Regular;5.54;70;Boleto;Feminino;Solteiro(a);34;Guarapuava
688;1Compra;4.24;175;Boleto;Feminino;Solteiro(a);32;Pato Branco
689;Retorno;6.01;270;Boleto;Feminino;Casado(a);49;Colombo
690;1Compra;4.25;195;Boleto;Feminino;Solteiro(a);23;Colombo
691;1Compra;5.33;230;Boleto;Feminino;Solteiro(a);62;Guarapuava
692;Retorno;5.98;190;Boleto;Feminino;Solteiro(a);56;Maringa
693;Retorno;4.97;175;Visa;Feminino;Solteiro(a);64;Toledo
694;1Compra;7.53;170;Boleto;Feminino;Solteiro(a);21;Colombo
695;Retorno;4.25;270;Boleto;Feminino;Casado(a);56;Dois Vizinhos
696;Regular;6.8;50;Boleto;Masculino;Solteiro(a);84;Pato Branco
697;Retorno;5.13;39;Boleto;Feminino;Casado(a);26;Guarapuava
698;Retorno;5.85;56;Boleto;Feminino;Casado(a);48;Toledo
699;1Compra;5.67;29;Boleto;Feminino;Solteiro(a);46;Dois Vizinhos
700;Retorno;6.97;46;Boleto;Masculino;Casado(a);32;Pato Branco
701;1Compra;6.71;43;Boleto;Feminino;Solteiro(a);39;Toledo
702;Retorno;4.67;37;Boleto;Feminino;Solteiro(a);54;Colombo
703;Retorno;5;63;Boleto;Feminino;Solteiro(a);41;Pato Branco
704;Regular;6.27;73;Boleto;Feminino;Casado(a);38;Curitiba0
705;Retorno;6.96;40;Boleto;Feminino;Casado(a);30;Pato Branco
706;Regular;7.41;49;Boleto;Feminino;Casado(a);25;Londrina
707;Retorno;4.32;47;Boleto;Feminino;Solteiro(a);24;Pato Branco
708;Regular;7.44;50;Boleto;Feminino;Casado(a);62;Colombo
709;Regular;4.72;82;Boleto;Feminino;Casado(a);36;Maringa
710;1Compra;6.49;60;Boleto;Feminino;Casado(a);83;CuritibaColombo
711;1Compra;5.78;40;Boleto;Feminino;Casado(a);72;Pato Branco
712;Retorno;7.93;45;Boleto;Masculino;Casado(a);58;Pato Branco
713;Regular;5.94;25;Boleto;Feminino;Casado(a);21;Dois Vizinhos
714;1Compra;7.02;55;Boleto;Feminino;Casado(a);33;Maringa
715;1Compra;6.9;88;Boleto;Masculino;Casado(a);43;Pato Branco
716;Regular;6.45;63;Boleto;Feminino;Casado(a);34;Pato Branco
717;1Compra;6.56;80;Visa;Feminino;Casado(a);33;Guarapuava
718;Retorno;6.9;100;Visa;Feminino;Solteiro(a);19;Colombo
719;Retorno;6.94;55;Boleto;Feminino;Casado(a);24;Curitiba0
720;1Compra;4.45;50;Boleto;Feminino;Casado(a);31;Maringa
721;Retorno;6.66;21;Boleto;Feminino;Solteiro(a);37;Colombo
722;Regular;6.78;72;Boleto;Feminino;Casado(a);51;Pato Branco
723;1Compra;7.41;28;Boleto;Feminino;Casado(a);41;Toledo
724;Regular;5.05;40;Boleto;Feminino;Solteiro(a);46;Pato Branco
